pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2,pl_density,pl_rade,pl_bmasse,mu,H,delta,snr
Kepler-340,b,2014,295.933477,40.30057,0.00015759567988662642,2454976.58289,0.01595,-0.01595,1,0.2344,2,0,1,Kepler,90.0,,,,1.7149999999999999,,,1.85,0.42,-0.42,6620.0,376.0,-376.0,12.345,11.725,11.629000000000001,0.134,,,0.226,0.054000000000000006,-0.054000000000000006,0.0218,,,1186.1094124230362,14.844387,0.000473,-0.000473,,,,2.342120629988114,2.533229645192142,6.92865926376391,2.0,462.72711305439947,4.836543991966881e-05,0.04767372400387599
Kepler-340,c,2014,295.933477,40.30057,0.0002795505950624215,2454977.46616,0.00945,-0.00945,1,0.2756,2,0,1,Kepler,90.0,,,,1.7149999999999999,,,1.85,0.42,-0.42,6620.0,376.0,-376.0,12.345,11.725,11.629000000000001,0.178,,,0.301,0.069,-0.069,0.0355,,,1029.1226822291096,22.824669,0.000481,-0.000481,,,,1.6143843900255157,3.373903200012543,11.282908434110954,2.0,437.33234493374067,5.9699574205752525e-05,0.058845759049459906
Kepler-341,b,2014,289.86157599999996,43.472775,0.00011190490974279763,2454965.7352,0.00557,-0.00557,1,0.159,4,0,1,Kepler,90.0,,,,1.0254545454545454,,,1.02,0.52,-0.52,6012.0,200.0,-200.0,14.600999999999999,13.415999999999999,13.112,0.06,,,0.105,0.055,-0.055,0.005529999999999999,,,1195.2994796090918,5.195528,5.3e-05,-5.3e-05,,,,5.924276466383768,1.1769429767485615,1.7575910884685513,32.0,24.799905442909083,3.727560126036197e-06,0.0018559599186475243
Kepler-341,c,2014,289.86157599999996,43.472775,0.00023450803035805865,2454968.31534,0.00366,-0.00366,1,0.1757,4,0,1,Kepler,90.0,,,,1.0254545454545454,,,1.02,0.52,-0.52,6012.0,200.0,-200.0,14.600999999999999,13.415999999999999,13.112,0.08,,,0.152,0.077,-0.077,0.0111,,,1035.159714471793,8.01041,4.9e-05,-4.9e-05,,,,3.9198576717023874,1.7037650711026795,3.52789531320089,2.0,358.76607519831157,8.38129119627544e-05,0.04173062271524449
Kepler-341,d,2014,289.86157599999996,43.472775,0.00027633661385466357,2454976.86829,0.0071,-0.0071,1,0.252,4,0,1,Kepler,90.0,,,,1.0254545454545454,,,1.02,0.52,-0.52,6012.0,200.0,-200.0,14.600999999999999,13.415999999999999,13.112,0.182,,,0.165,0.084,-0.084,0.0128,,,686.3042078401119,27.666313,0.000297,-0.000297,,,,3.5337532451244424,1.8494818206048824,4.0682036044118375,2.0,243.06050212415056,5.9872292823249086e-05,0.029810538786839428
Kepler-341,e,2014,289.86157599999996,43.472775,0.0003215959329061951,2454979.27815,0.009170000000000001,-0.009170000000000001,1,0.2987,4,0,1,Kepler,90.0,,,,1.0254545454545454,,,1.02,0.52,-0.52,6012.0,200.0,-200.0,14.600999999999999,13.415999999999999,13.112,0.242,,,0.17800000000000002,0.092,-0.092,0.0145,,,595.1749890509872,42.473269,0.000633,-0.000633,,,,3.188497483960899,1.9951985701070853,4.608511895622785,2.0,216.5491509884658,5.7053618100833426e-05,0.02840711479591073
Kepler-342,b,2014,292.678083,46.726715000000006,0.00019743690389199876,2454965.66283,0.00243,-0.00243,1,0.1673,4,0,1,Kepler,90.0,,,,1.3385714285714285,,,1.47,0.26,-0.26,6175.0,100.0,-100.0,13.147,12.22,11.999,0.128,,,0.201,0.036000000000000004,-0.036000000000000004,0.0179,,,1009.0761517884811,15.170318,5.9e-05,-5.9e-05,,,,2.7336502056905756,2.253005126918675,5.689128478044679,2.0,379.23013138591546,5.554248407577055e-05,0.046170995094405705
Kepler-342,c,2014,292.678083,46.726715000000006,0.00014966226533235467,2454974.99866,0.0037700000000000003,-0.0037700000000000003,1,0.1015,4,0,1,Kepler,90.0,,,,1.3385714285714285,,,1.47,0.26,-0.26,6175.0,100.0,-100.0,13.147,12.22,11.999,0.185,,,0.175,0.031,-0.031,0.0142,,,839.3499384702618,26.234138,0.000163,-0.000163,,,,3.285884408262622,1.961571627914269,4.513163373644383,2.0,301.4190011040454,3.8228535727324495e-05,0.028744615994063038
Kepler-342,d,2014,292.678083,46.726715000000006,0.00024084751296782914,2454969.46152,0.0059700000000000005,-0.0059700000000000005,1,0.3402,4,0,1,Kepler,90.0,,,,1.3385714285714285,,,1.47,0.26,-0.26,6175.0,100.0,-100.0,13.147,12.22,11.999,0.242,,,0.222,0.043,-0.043,0.0213,,,733.8735649370772,39.459357,0.000375,-0.000375,,,,2.414341855167689,2.488393722268387,6.7697450604665725,2.0,282.74009523540576,4.4817002256299505e-05,0.03725518629124921
Kepler-343,b,2014,291.96068399999996,42.433006,0.00023871281356035017,2454972.38991,0.0030800000000000003,-0.0030800000000000003,1,0.1803,2,0,1,Kepler,90.0,,,,1.306,,,1.43,0.26,-0.26,5807.0,100.0,-100.0,14.128,13.039000000000001,12.722000000000001,0.088,,,0.215,0.045,-0.045,0.0201,,,1128.7864994520353,8.96855,5.8e-05,-5.8e-05,,,,2.508180349330233,2.4099308571518163,6.3883509725529635,2.0,432.24748920647176,7.184875149392629e-05,0.04281176781394406
